entry,reading,level,root,form,meaning_bn,aspect,person,arabic,bangla,source_pdf,source_page,note
101,1,1,موت,I,মারা যাওয়া,PERF,1P,مُتْنَا,আমরা মারা গিয়েছি,Quran words - level1.pdf,72,
101,1,1,موت,I,মারা যাওয়া,IMPF,3MS,يَمُوتُ,সে মারা যায় / যাবে,Quran words - level1.pdf,73,
101,1,1,موت,I,মারা যাওয়া,IMPF,3MP,يَمُوتُونَ,তারা মারা যায় / যাবে,Quran words - level1.pdf,73,
101,1,1,موت,I,মারা যাওয়া,IMPF,2MS,تَمُوتُ,তুমি মারা যাও / যাবে,Quran words - level1.pdf,73,
101,1,1,موت,I,মারা যাওয়া,IMPF,2MP,تَمُوتُونَ,তোমরা মারা যাও / যাবে,Quran words - level1.pdf,73,
101,1,1,موت,I,মারা যাওয়া,IMPF,1S,أَمُوتُ,আমি মারা যাই / যাবো,Quran words - level1.pdf,73,
101,1,1,موت,I,মারা যাওয়া,IMPF,1P,نَمُوتُ,আমরা মারা যাই / যাবো,Quran words - level1.pdf,73,
101,1,1,موت,I,মারা যাওয়া,IMPV,2MS,مُتْ,মারা যাও (তুমি),Quran words - level1.pdf,73,
101,1,1,موت,I,মারা যাওয়া,IMPV,2MP,مُوتُوا,মারা যাও (তোমরা),Quran words - level1.pdf,73,
102,1,1,بشر,II,সুসংবাদ দেওয়া,PERF,3MS,بَشَّرَ,সে সুসংবাদ দিয়েছে,Quran words - level1.pdf,73,
102,1,1,بشر,II,সুসংবাদ দেওয়া,PERF,3MP,بَشَّرُوا,তারা সুসংবাদ দিয়েছে,Quran words - level1.pdf,73,
102,1,1,بشر,II,সুসংবাদ দেওয়া,PERF,2MS,بَشَّرْتَ,তুমি সুসংবাদ দিয়েছো,Quran words - level1.pdf,73,
102,1,1,بشر,II,সুসংবাদ দেওয়া,PERF,2MP,بَشَّرْتُمْ,তোমরা সুসংবাদ দিয়েছো,Quran words - level1.pdf,73,
102,1,1,بشر,II,সুসংবাদ দেওয়া,PERF,1S,بَشَّرْتُ,আমি সুসংবাদ দিয়েছি,Quran words - level1.pdf,73,
102,1,1,بشر,II,সুসংবাদ দেওয়া,PERF,1P,بَشَّرْنَا,আমরা সুসংবাদ দিয়েছি,Quran words - level1.pdf,73,
102,1,1,بشر,II,সুসংবাদ দেওয়া,IMPF,3MS,يُبَشِرُّ,সে সুসংবাদ দেয় / দিবে,Quran words - level1.pdf,73,
102,1,1,بشر,II,সুসংবাদ দেওয়া,IMPF,3MP,يُبَشِرُّونَ,তারা সুসংবাদ দেয় / দিবে,Quran words - level1.pdf,73,
102,1,1,بشر,II,সুসংবাদ দেওয়া,IMPF,2MS,تُبَشِرُّ,তুমি সুসংবাদ দাও / দিবে,Quran words - level1.pdf,73,
102,1,1,بشر,II,সুসংবাদ দেওয়া,IMPF,2MP,تُبَشِرُّونَ,তোমরা সুসংবাদ দাও / দিবে,Quran words - level1.pdf,73,
102,1,1,بشر,II,সুসংবাদ দেওয়া,IMPF,1S,أُبَشِرُّ,আমি সুসংবাদ দিই / দিবো,Quran words - level1.pdf,73,
102,1,1,بشر,II,সুসংবাদ দেওয়া,IMPF,1P,نُبَشِرُّ,আমরা সুসংবাদ দিই / দিবো,Quran words - level1.pdf,73,
102,1,1,بشر,II,সুসংবাদ দেওয়া,IMPV,2MS,بَشِرّْ,সুসংবাদ দাও (তুমি),Quran words - level1.pdf,73,
102,1,1,بشر,II,সুসংবাদ দেওয়া,IMPV,2MP,بَشِرُّوا,সুসংবাদ দাও (তোমরা),Quran words - level1.pdf,73,
103,1,1,رضو,I,"সন্তুষ্ট হওয়া, পছন্দ করা, মনোনীত করা",PERF,3MS,رَضِىَ,সে পছন্দ করেছে,Quran words - level1.pdf,73,
103,1,1,رضو,I,"সন্তুষ্ট হওয়া, পছন্দ করা, মনোনীত করা",PERF,3MP,رَضُوا,তারা পছন্দ করেছে,Quran words - level1.pdf,73,
103,1,1,رضو,I,"সন্তুষ্ট হওয়া, পছন্দ করা, মনোনীত করা",PERF,2MS,رَضِيتَ,তুমি পছন্দ করেছো,Quran words - level1.pdf,73,
103,1,1,رضو,I,"সন্তুষ্ট হওয়া, পছন্দ করা, মনোনীত করা",PERF,2MP,رَضِيتُمْ,তোমরা পছন্দ করেছো,Quran words - level1.pdf,73,
103,1,1,رضو,I,"সন্তুষ্ট হওয়া, পছন্দ করা, মনোনীত করা",PERF,1S,رَضِيتُ,আমি পছন্দ করেছি,Quran words - level1.pdf,73,
103,1,1,رضو,I,"সন্তুষ্ট হওয়া, পছন্দ করা, মনোনীত করা",PERF,1P,رَضِينَا,আমরা পছন্দ করেছি,Quran words - level1.pdf,73,
103,1,1,رضو,I,"সন্তুষ্ট হওয়া, পছন্দ করা, মনোনীত করা",IMPF,3MS,يَرْضَى,সে পছন্দ করে / করবে,Quran words - level1.pdf,73,
103,1,1,رضو,I,"সন্তুষ্ট হওয়া, পছন্দ করা, মনোনীত করা",IMPF,3MP,يَرْضَوْنَ,তারা পছন্দ করে / করবে,Quran words - level1.pdf,73,
103,1,1,رضو,I,"সন্তুষ্ট হওয়া, পছন্দ করা, মনোনীত করা",IMPF,2MS,تَرْضَى,তুমি পছন্দ কর / করবে,Quran words - level1.pdf,73,
103,1,1,رضو,I,"সন্তুষ্ট হওয়া, পছন্দ করা, মনোনীত করা",IMPF,2MP,تَرْضَوْنَ,তোমরা পছন্দ কর / করবে,Quran words - level1.pdf,73,
103,1,1,رضو,I,"সন্তুষ্ট হওয়া, পছন্দ করা, মনোনীত করা",IMPF,1S,أَرْضَى,আমি পছন্দ করি / করবো,Quran words - level1.pdf,73,
103,1,1,رضو,I,"সন্তুষ্ট হওয়া, পছন্দ করা, মনোনীত করা",IMPF,1P,نَرْضَى,আমরা পছন্দ করি / করবো,Quran words - level1.pdf,73,
103,1,1,رضو,I,"সন্তুষ্ট হওয়া, পছন্দ করা, মনোনীত করা",IMPV,2MS,اِرْضَ,পছন্দ করো (তুমি),Quran words - level1.pdf,74,
103,1,1,رضو,I,"সন্তুষ্ট হওয়া, পছন্দ করা, মনোনীত করা",IMPV,2MP,اِرْضَوْا,পছন্দ করো (তোমরা),Quran words - level1.pdf,74,
104,1,1,حزن,I,"দুঃখ করা, চিন্তিত হওয়া",PERF,3MS,حَزِنَ,সে দুঃখ করেছে,Quran words - level1.pdf,74,
104,1,1,حزن,I,"দুঃখ করা, চিন্তিত হওয়া",PERF,3MP,حَزِنُوا,তারা দুঃখ করেছে,Quran words - level1.pdf,74,
104,1,1,حزن,I,"দুঃখ করা, চিন্তিত হওয়া",PERF,2MS,حَزِنْتَ,তুমি দুঃখ করেছো,Quran words - level1.pdf,74,
104,1,1,حزن,I,"দুঃখ করা, চিন্তিত হওয়া",PERF,2MP,حَزِنْتُمْ,তোমরা দুঃখ করেছো,Quran words - level1.pdf,74,
104,1,1,حزن,I,"দুঃখ করা, চিন্তিত হওয়া",PERF,1S,حَزِنْتُ,আমি দুঃখ করেছি,Quran words - level1.pdf,74,
104,1,1,حزن,I,"দুঃখ করা, চিন্তিত হওয়া",PERF,1P,حَزِنَّا,আমরা দুঃখ করেছি,Quran words - level1.pdf,74,
104,1,1,حزن,I,"দুঃখ করা, চিন্তিত হওয়া",IMPF,3MS,يَحْزَنُ,সে দুঃখ করে / করবে,Quran words - level1.pdf,74,
104,1,1,حزن,I,"দুঃখ করা, চিন্তিত হওয়া",IMPF,3MP,يَحْزَنُونَ,তারা দুঃখ করে / করবে,Quran words - level1.pdf,74,
104,1,1,حزن,I,"দুঃখ করা, চিন্তিত হওয়া",IMPF,2MS,تَحْزَنُ,তুমি দুঃখ কর / করবে,Quran words - level1.pdf,74,
104,1,1,حزن,I,"দুঃখ করা, চিন্তিত হওয়া",IMPF,2MP,تَحْزَنُونَ,তোমরা দুঃখ কর / করবে,Quran words - level1.pdf,74,
104,1,1,حزن,I,"দুঃখ করা, চিন্তিত হওয়া",IMPF,1S,أَحْزَنُ,আমি দুঃখ করি / করবো,Quran words - level1.pdf,74,
104,1,1,حزن,I,"দুঃখ করা, চিন্তিত হওয়া",IMPF,1P,نَحْزَنُ,আমরা দুঃখ করি / করবো,Quran words - level1.pdf,74,
104,1,1,حزن,I,"দুঃখ করা, চিন্তিত হওয়া",IMPV,2MS,اِحْزَنْ,দুঃখ করো (তুমি),Quran words - level1.pdf,74,
104,1,1,حزن,I,"দুঃখ করা, চিন্তিত হওয়া",IMPV,2MP,اِحْزَنُوا,দুঃখ করো (তোমরা),Quran words - level1.pdf,74,
105,1,1,حشر,I,"ওঠানো, একত্র করা, জড়ো করা, সমবেত করা",PERF,3MS,حَشَرَ,সে সমবেত করেছে,Quran words - level1.pdf,74,
105,1,1,حشر,I,"ওঠানো, একত্র করা, জড়ো করা, সমবেত করা",PERF,3MP,حَشَرُوا,তারা সমবেত করেছে,Quran words - level1.pdf,74,
105,1,1,حشر,I,"ওঠানো, একত্র করা, জড়ো করা, সমবেত করা",PERF,2MS,حَشَرْتَ,তুমি সমবেত করেছো,Quran words - level1.pdf,74,
105,1,1,حشر,I,"ওঠানো, একত্র করা, জড়ো করা, সমবেত করা",PERF,2MP,حَشَرْتُمْ,তোমরা সমবেত করেছো,Quran words - level1.pdf,74,
105,1,1,حشر,I,"ওঠানো, একত্র করা, জড়ো করা, সমবেত করা",PERF,1S,حَشَرْتُ,আমি সমবেত করেছি,Quran words - level1.pdf,74,
105,1,1,حشر,I,"ওঠানো, একত্র করা, জড়ো করা, সমবেত করা",PERF,1P,حَشَرْنَا,আমরা সমবেত করেছি,Quran words - level1.pdf,74,
105,1,1,حشر,I,"ওঠানো, একত্র করা, জড়ো করা, সমবেত করা",IMPF,3MS,يَحْشُرُ,সে সমবেত করে / করবে,Quran words - level1.pdf,74,
105,1,1,حشر,I,"ওঠানো, একত্র করা, জড়ো করা, সমবেত করা",IMPF,3MP,يَحْشُرُونَ,তারা সমবেত করে / করবে,Quran words - level1.pdf,74,
105,1,1,حشر,I,"ওঠানো, একত্র করা, জড়ো করা, সমবেত করা",IMPF,2MS,تَحْشُرُ,তুমি সমবেত কর / করবে,Quran words - level1.pdf,74,
105,1,1,حشر,I,"ওঠানো, একত্র করা, জড়ো করা, সমবেত করা",IMPF,2MP,تَحْشُرُونَ,তোমরা সমবেত কর / করবে,Quran words - level1.pdf,74,
105,1,1,حشر,I,"ওঠানো, একত্র করা, জড়ো করা, সমবেত করা",IMPF,1S,أَحْشُرُ,আমি সমবেত করি / করবো,Quran words - level1.pdf,74,
105,1,1,حشر,I,"ওঠানো, একত্র করা, জড়ো করা, সমবেত করা",IMPF,1P,نَحْشُرُ,আমরা সমবেত করি / করবো,Quran words - level1.pdf,74,
105,1,1,حشر,I,"ওঠানো, একত্র করা, জড়ো করা, সমবেত করা",IMPV,2MS,اُحْشُرْ,সমবেত করো (তুমি),Quran words - level1.pdf,74,
105,1,1,حشر,I,"ওঠানো, একত্র করা, জড়ো করা, সমবেত করা",IMPV,2MP,اُحْشُرُوا,সমবেত করো (তোমরা),Quran words - level1.pdf,74,
106,1,1,صدد,I,বাধা দেওয়া,PERF,3MS,صَدَّ,সে বাধা দিয়েছে,Quran words - level1.pdf,75,
106,1,1,صدد,I,বাধা দেওয়া,PERF,3MP,صَدُّوا,তারা বাধা দিয়েছে,Quran words - level1.pdf,75,
106,1,1,صدد,I,বাধা দেওয়া,PERF,2MS,صَدَدْتَ,তুমি বাধা দিয়েছো,Quran words - level1.pdf,75,
106,1,1,صدد,I,বাধা দেওয়া,PERF,2MP,صَدَدْتُمْ,তোমরা বাধা দিয়েছো,Quran words - level1.pdf,75,
106,1,1,صدد,I,বাধা দেওয়া,PERF,1S,صَدَدْتُ,আমি বাধা দিয়েছি,Quran words - level1.pdf,75,
106,1,1,صدد,I,বাধা দেওয়া,PERF,1P,صَدَدْنَا,আমরা বাধা দিয়েছি,Quran words - level1.pdf,75,
106,1,1,صدد,I,বাধা দেওয়া,IMPF,3MS,يَصُدُّ,সে বাধা দেয় / দিবে,Quran words - level1.pdf,75,
106,1,1,صدد,I,বাধা দেওয়া,IMPF,3MP,يَصُدُّونَ,তারা বাধা দেয় / দিবে,Quran words - level1.pdf,75,
106,1,1,صدد,I,বাধা দেওয়া,IMPF,2MS,تَصُدُّ,তুমি বাধা দাও / দিবে,Quran words - level1.pdf,75,
106,1,1,صدد,I,বাধা দেওয়া,IMPF,2MP,تَصُدُّونَ,তোমরা বাধা দাও / দিবে,Quran words - level1.pdf,75,
106,1,1,صدد,I,বাধা দেওয়া,IMPF,1S,أَصُدُّ,আমি বাধা দিই / দিবো,Quran words - level1.pdf,75,
106,1,1,صدد,I,বাধা দেওয়া,IMPF,1P,نَصُدُّ,আমরা বাধা দিই / দিবো,Quran words - level1.pdf,75,
106,1,1,صدد,I,বাধা দেওয়া,IMPV,2MS,صُدَّ,বাধা দাও (তুমি),Quran words - level1.pdf,75,
106,1,1,صدد,I,বাধা দেওয়া,IMPV,2MP,صُدُّوا,বাধা দাও (তোমরা),Quran words - level1.pdf,75,
107,1,1,نجو,II,"রক্ষা করা, মুক্তি দেওয়া",PERF,3MS,نَجَّا,সে রক্ষা করেছে,Quran words - level1.pdf,75,
107,1,1,نجو,II,"রক্ষা করা, মুক্তি দেওয়া",PERF,3MP,نَجَّوْا,তারা রক্ষা করেছে,Quran words - level1.pdf,75,
107,1,1,نجو,II,"রক্ষা করা, মুক্তি দেওয়া",PERF,2MS,نَجَّيْتَ,তুমি রক্ষা করেছো,Quran words - level1.pdf,75,
107,1,1,نجو,II,"রক্ষা করা, মুক্তি দেওয়া",PERF,2MP,نَجَّيْتُمْ,তোমরা রক্ষা করেছো,Quran words - level1.pdf,75,
107,1,1,نجو,II,"রক্ষা করা, মুক্তি দেওয়া",PERF,1S,نَجَّيْتُ,আমি রক্ষা করেছি,Quran words - level1.pdf,75,
107,1,1,نجو,II,"রক্ষা করা, মুক্তি দেওয়া",PERF,1P,نَجَّيْنَا,আমরা রক্ষা করেছি,Quran words - level1.pdf,75,
107,1,1,نجو,II,"রক্ষা করা, মুক্তি দেওয়া",IMPF,3MS,يُنَجِىّ,সে রক্ষা করে / করবে,Quran words - level1.pdf,75,
107,1,1,نجو,II,"রক্ষা করা, মুক্তি দেওয়া",IMPF,3MP,يُنَجُّونَ,তারা রক্ষা করে / করবে,Quran words - level1.pdf,75,
107,1,1,نجو,II,"রক্ষা করা, মুক্তি দেওয়া",IMPF,2MS,تُنَجِىّ,তুমি রক্ষা কর / করবে,Quran words - level1.pdf,75,
107,1,1,نجو,II,"রক্ষা করা, মুক্তি দেওয়া",IMPF,2MP,تُنَجُّونَ,তোমরা রক্ষা কর / করবে,Quran words - level1.pdf,75,
107,1,1,نجو,II,"রক্ষা করা, মুক্তি দেওয়া",IMPF,1S,أُنَجِىّ,আমি রক্ষা করি / করবো,Quran words - level1.pdf,75,
107,1,1,نجو,II,"রক্ষা করা, মুক্তি দেওয়া",IMPF,1P,نُنَجِىّ,আমরা রক্ষা করি / করবো,Quran words - level1.pdf,75,
107,1,1,نجو,II,"রক্ষা করা, মুক্তি দেওয়া",IMPV,2MS,نَجِّ,রক্ষা করো (তুমি),Quran words - level1.pdf,75,
107,1,1,نجو,II,"রক্ষা করা, মুক্তি দেওয়া",IMPV,2MP,نَجُّوا,রক্ষা করো (তোমরা),Quran words - level1.pdf,75,
108,1,1,ذوق,I,স্বাদ গ্রহণ করা,PERF,3MS,ذَاقَ,সে স্বাদ গ্রহণ করেছে,Quran words - level1.pdf,75,
108,1,1,ذوق,I,স্বাদ গ্রহণ করা,PERF,3MP,ذَاقُوا,তারা স্বাদ গ্রহণ করেছে,Quran words - level1.pdf,75,
108,1,1,ذوق,I,স্বাদ গ্রহণ করা,PERF,2MS,ذُقْتَ,তুমি স্বাদ গ্রহণ করেছো,Quran words - level1.pdf,75,
108,1,1,ذوق,I,স্বাদ গ্রহণ করা,PERF,2MP,ذُقْتُمْ,তোমরা স্বাদ গ্রহণ করেছো,Quran words - level1.pdf,75,
108,1,1,ذوق,I,স্বাদ গ্রহণ করা,PERF,1S,ذُقْتُ,আমি স্বাদ গ্রহণ করেছি,Quran words - level1.pdf,75,
108,1,1,ذوق,I,স্বাদ গ্রহণ করা,PERF,1P,ذُقْنَا,আমরা স্বাদ গ্রহণ করেছি,Quran words - level1.pdf,75,
108,1,1,ذوق,I,স্বাদ গ্রহণ করা,IMPF,3MS,يَذُوقُ,সে স্বাদ গ্রহণ করে / করবে,Quran words - level1.pdf,76,
108,1,1,ذوق,I,স্বাদ গ্রহণ করা,IMPF,3MP,يَذُوقُونَ,তারা স্বাদ গ্রহণ করে / করবে,Quran words - level1.pdf,76,
108,1,1,ذوق,I,স্বাদ গ্রহণ করা,IMPF,2MS,تَذُوقُ,তুমি স্বাদ গ্রহণ কর / করবে,Quran words - level1.pdf,76,
108,1,1,ذوق,I,স্বাদ গ্রহণ করা,IMPF,2MP,تَذُوقُونَ,তোমরা স্বাদ গ্রহণ কর / করবে,Quran words - level1.pdf,76,
108,1,1,ذوق,I,স্বাদ গ্রহণ করা,IMPF,1S,أَذُوقُ,আমি স্বাদ গ্রহণ করি / করবো,Quran words - level1.pdf,76,
108,1,1,ذوق,I,স্বাদ গ্রহণ করা,IMPF,1P,نَذُوقُ,আমরা স্বাদ গ্রহণ করি / করবো,Quran words - level1.pdf,76,
108,1,1,ذوق,I,স্বাদ গ্রহণ করা,IMPV,2MS,ذُقْ,স্বাদ গ্রহণ করো (তুমি),Quran words - level1.pdf,76,
108,1,1,ذوق,I,স্বাদ গ্রহণ করা,IMPV,2MP,ذُوقُوا,স্বাদ গ্রহণ করো (তোমরা),Quran words - level1.pdf,76,
109,1,1,ردد,I,"ফিরত দেওয়া, ফিরিয়ে আনা",PERF,3MS,رَدَّ,সে ফিরত দিয়েছে,Quran words - level1.pdf,76,
109,1,1,ردد,I,"ফিরত দেওয়া, ফিরিয়ে আনা",PERF,3MP,رَدُّوا,তারা ফিরত দিয়েছে,Quran words - level1.pdf,76,
109,1,1,ردد,I,"ফিরত দেওয়া, ফিরিয়ে আনা",PERF,2MS,رَدَدْتَ,তুমি ফিরত দিয়েছো,Quran words - level1.pdf,76,
109,1,1,ردد,I,"ফিরত দেওয়া, ফিরিয়ে আনা",PERF,2MP,رَدَدْتُمْ,তোমরা ফিরত দিয়েছো,Quran words - level1.pdf,76,
109,1,1,ردد,I,"ফিরত দেওয়া, ফিরিয়ে আনা",PERF,1S,رَدَدْتُ,আমি ফিরত দিয়েছি,Quran words - level1.pdf,76,
109,1,1,ردد,I,"ফিরত দেওয়া, ফিরিয়ে আনা",PERF,1P,رَدَدْنَا,আমরা ফিরত দিয়েছি,Quran words - level1.pdf,76,
109,1,1,ردد,I,"ফিরত দেওয়া, ফিরিয়ে আনা",IMPF,3MS,يَرُدُّ,সে ফিরত দেয় / দিবে,Quran words - level1.pdf,76,
109,1,1,ردد,I,"ফিরত দেওয়া, ফিরিয়ে আনা",IMPF,3MP,يَرُدُّونَ,তারা ফিরত দেয় / দিবে,Quran words - level1.pdf,76,
109,1,1,ردد,I,"ফিরত দেওয়া, ফিরিয়ে আনা",IMPF,2MS,تَرُدُّ,তুমি ফিরত দাও / দিবে,Quran words - level1.pdf,76,
109,1,1,ردد,I,"ফিরত দেওয়া, ফিরিয়ে আনা",IMPF,2MP,تَرُدُّونَ,তোমরা ফিরত দাও / দিবে,Quran words - level1.pdf,76,
109,1,1,ردد,I,"ফিরত দেওয়া, ফিরিয়ে আনা",IMPF,1S,أَرُدُّ,আমি ফিরত দিই / দিবো,Quran words - level1.pdf,76,
109,1,1,ردد,I,"ফিরত দেওয়া, ফিরিয়ে আনা",IMPF,1P,نَرُدُّ,আমরা ফিরত দিই / দিবো,Quran words - level1.pdf,76,
109,1,1,ردد,I,"ফিরত দেওয়া, ফিরিয়ে আনা",IMPV,2MS,رُدَّ,ফিরত দাও (তুমি),Quran words - level1.pdf,76,
109,1,1,ردد,I,"ফিরত দেওয়া, ফিরিয়ে আনা",IMPV,2MP,رُدُّوا,ফিরত দাও (তোমরা),Quran words - level1.pdf,76,
110,1,1,بين,II,"বর্ণনা করা, স্পষ্ট করা",PERF,3MS,بَيَّنَ,সে বর্ণনা করেছে,Quran words - level1.pdf,76,
110,1,1,بين,II,"বর্ণনা করা, স্পষ্ট করা",PERF,3MP,بَيَّنُوا,তারা বর্ণনা করেছে,Quran words - level1.pdf,76,
110,1,1,بين,II,"বর্ণনা করা, স্পষ্ট করা",PERF,2MS,بَيَّنْتَ,তুমি বণর্ন া করেছো,Quran words - level1.pdf,76,
110,1,1,بين,II,"বর্ণনা করা, স্পষ্ট করা",PERF,2MP,بَيَّنْتُمْ,তোমরা বর্ণনা করেছো,Quran words - level1.pdf,76,
110,1,1,بين,II,"বর্ণনা করা, স্পষ্ট করা",PERF,1S,بَيَّنْتُ,আমি বর্ণনা করেছি,Quran words - level1.pdf,76,
110,1,1,بين,II,"বর্ণনা করা, স্পষ্ট করা",PERF,1P,بَيَّنَّا,আমরা বণর্ন া করেছি,Quran words - level1.pdf,76,
110,1,1,بين,II,"বর্ণনা করা, স্পষ্ট করা",IMPF,3MS,يُبَيّنُِ,সে বর্ণনা করে / করবে,Quran words - level1.pdf,76,
110,1,1,بين,II,"বর্ণনা করা, স্পষ্ট করা",IMPF,3MP,يُبَيِّنُونَ,তারা বর্ণনা করে / করবে,Quran words - level1.pdf,76,
110,1,1,بين,II,"বর্ণনা করা, স্পষ্ট করা",IMPF,2MS,تُبَيّنُِ,তুমি বণর্ন া কর / করবে,Quran words - level1.pdf,76,
110,1,1,بين,II,"বর্ণনা করা, স্পষ্ট করা",IMPF,2MP,تُبَيِّنُونَ,তোমরা বর্ণনা কর / করবে,Quran words - level1.pdf,76,
110,1,1,بين,II,"বর্ণনা করা, স্পষ্ট করা",IMPF,1S,أُبَيّنُِ,আমি বর্ণনা করি / করবো,Quran words - level1.pdf,76,
110,1,1,بين,II,"বর্ণনা করা, স্পষ্ট করা",IMPF,1P,نُبَيّنُِ,আমরা বণর্ন া করি / করবো,Quran words - level1.pdf,76,
110,1,1,بين,II,"বর্ণনা করা, স্পষ্ট করা",IMPV,2MS,بَيّنِْ,বর্ণনা করো (তুমি),Quran words - level1.pdf,77,
110,1,1,بين,II,"বর্ণনা করা, স্পষ্ট করা",IMPV,2MP,بَيِّنُوا,বর্ণনা করো (তোমরা),Quran words - level1.pdf,77,
111,1,1,خلف,VIII,"মতবিরোধ করা, মতভেদ করা",PERF,3MS,اِخْتَلَفَ,সে মতভেদ করেছে,Quran words - level1.pdf,77,
111,1,1,خلف,VIII,"মতবিরোধ করা, মতভেদ করা",PERF,3MP,اِخْتَلَفُوا,তারা মতভেদ করেছে,Quran words - level1.pdf,77,
111,1,1,خلف,VIII,"মতবিরোধ করা, মতভেদ করা",PERF,2MS,اِخْتَلَفْتَ,তুমি মতভেদ করেছো,Quran words - level1.pdf,77,
111,1,1,خلف,VIII,"মতবিরোধ করা, মতভেদ করা",PERF,2MP,اِخْتَلَفْتُمْ,তোমরা মতভেদ করেছো,Quran words - level1.pdf,77,
111,1,1,خلف,VIII,"মতবিরোধ করা, মতভেদ করা",PERF,1S,اِخْتَلَفْتُ,আমি মতভেদ করেছি,Quran words - level1.pdf,77,
111,1,1,خلف,VIII,"মতবিরোধ করা, মতভেদ করা",PERF,1P,اِخْتَلَفْنَا,আমরা মতভেদ করেছি,Quran words - level1.pdf,77,
111,1,1,خلف,VIII,"মতবিরোধ করা, মতভেদ করা",IMPF,3MS,يَخْتَلِفُ,সে মতভেদ করে / করবে,Quran words - level1.pdf,77,
111,1,1,خلف,VIII,"মতবিরোধ করা, মতভেদ করা",IMPF,3MP,يَخْتَلِفُونَ,তারা মতভেদ করে / করবে,Quran words - level1.pdf,77,
111,1,1,خلف,VIII,"মতবিরোধ করা, মতভেদ করা",IMPF,2MS,تَخْتَلِفُ,তুমি মতভেদ কর / করবে,Quran words - level1.pdf,77,
111,1,1,خلف,VIII,"মতবিরোধ করা, মতভেদ করা",IMPF,2MP,تَخْتَلِفُونَ,তোমরা মতভেদ কর / করবে,Quran words - level1.pdf,77,
111,1,1,خلف,VIII,"মতবিরোধ করা, মতভেদ করা",IMPF,1S,أَخْتَلِفُ,আমি মতভেদ করি / করবো,Quran words - level1.pdf,77,
111,1,1,خلف,VIII,"মতবিরোধ করা, মতভেদ করা",IMPF,1P,نَخْتَلِفُ,আমরা মতভেদ করি / করবো,Quran words - level1.pdf,77,
111,1,1,خلف,VIII,"মতবিরোধ করা, মতভেদ করা",IMPV,2MS,اِخْتَلِفْ,মতভেদ করো (তুমি),Quran words - level1.pdf,77,
111,1,1,خلف,VIII,"মতবিরোধ করা, মতভেদ করা",IMPV,2MP,اِخْتَلِفُوا,মতভেদ করো (তোমরা),Quran words - level1.pdf,77,
112,1,1,ذهب,I,"নিয়ে নেওয়া, যাওয়া",PERF,3MS,ذَهَبَ,সে গিয়েছে,Quran words - level1.pdf,77,
112,1,1,ذهب,I,"নিয়ে নেওয়া, যাওয়া",PERF,3MP,ذَهَبُوا,তারা গিয়েছে,Quran words - level1.pdf,77,
112,1,1,ذهب,I,"নিয়ে নেওয়া, যাওয়া",PERF,2MS,ذَهَبْتَ,তুমি গিয়েছো,Quran words - level1.pdf,77,
112,1,1,ذهب,I,"নিয়ে নেওয়া, যাওয়া",PERF,2MP,ذَهَبْتُمْ,তোমরা গিয়েছো,Quran words - level1.pdf,77,
112,1,1,ذهب,I,"নিয়ে নেওয়া, যাওয়া",PERF,1S,ذَهَبْتُ,আমি গিয়েছি,Quran words - level1.pdf,77,
112,1,1,ذهب,I,"নিয়ে নেওয়া, যাওয়া",PERF,1P,ذَهَبْنَا,আমরা গিয়েছি,Quran words - level1.pdf,77,
112,1,1,ذهب,I,"নিয়ে নেওয়া, যাওয়া",IMPF,3MS,يَذْهَبُ,সে যায় / যাবে,Quran words - level1.pdf,77,
112,1,1,ذهب,I,"নিয়ে নেওয়া, যাওয়া",IMPF,3MP,يَذْهَبُونَ,তারা যায় / যাবে,Quran words - level1.pdf,77,
112,1,1,ذهب,I,"নিয়ে নেওয়া, যাওয়া",IMPF,2MS,تَذْهَبُ,তুমি যাও / যাবে,Quran words - level1.pdf,77,
112,1,1,ذهب,I,"নিয়ে নেওয়া, যাওয়া",IMPF,2MP,تَذْهَبُونَ,তোমরা যাও / যাবে,Quran words - level1.pdf,77,
112,1,1,ذهب,I,"নিয়ে নেওয়া, যাওয়া",IMPF,1S,أَذْهَبُ,আমি যাই / যাবো,Quran words - level1.pdf,77,
112,1,1,ذهب,I,"নিয়ে নেওয়া, যাওয়া",IMPF,1P,نَذْهَبُ,আমরা যাই / যাবো,Quran words - level1.pdf,77,
112,1,1,ذهب,I,"নিয়ে নেওয়া, যাওয়া",IMPV,2MS,اِذْهَبْ,যাও (তুমি),Quran words - level1.pdf,77,
112,1,1,ذهب,I,"নিয়ে নেওয়া, যাওয়া",IMPV,2MP,اِذْهَبُوا,যাও (তোমরা),Quran words - level1.pdf,77,
113,1,1,سجد,I,সিজদা করা,PERF,3MS,سَجَدَ,সে সিজদা করেছে,Quran words - level1.pdf,78,
113,1,1,سجد,I,সিজদা করা,PERF,3MP,سَجَدُوا,তারা সিজদা করেছে,Quran words - level1.pdf,78,
113,1,1,سجد,I,সিজদা করা,PERF,2MS,سَجَدْتَ,তুমি সিজদা করেছো,Quran words - level1.pdf,78,
113,1,1,سجد,I,সিজদা করা,PERF,2MP,سَجَدْتُمْ,তোমরা সিজদা করেছো,Quran words - level1.pdf,78,
113,1,1,سجد,I,সিজদা করা,PERF,1S,سَجَدْتُ,আমি সিজদা করেছি,Quran words - level1.pdf,78,
